People,Population,Food Availible(Kg),Width(m),Length(m),Months,Survival %,Id
Jews,78.0,16.8,18.7,19.4,3.1234,5.1992,78
Jews,80.0,17.2,19.0,20.2,3.0502,5.6358,79
Jews,85.0,17.8,19.6,20.8,3.0368,5.1376,80
Jews,110.0,19.0,21.0,22.5,3.555,5.6925,82
Jews,125.0,19.0,21.0,22.5,3.6675,5.6925,84
Jews,130.0,19.3,21.3,22.8,3.534,6.3839999999999995,85
Jews,120.0,20.0,22.0,23.5,3.4075,6.11,86
Jews,120.0,20.0,22.0,23.5,3.525,5.64,87
Jews,130.0,20.0,22.0,23.5,3.525,6.11,88
Jews,110.0,20.0,22.0,23.5,3.995,5.5225,90
Jews,145.0,20.7,22.7,24.2,3.63,5.9532,93
Jews,170.0,21.5,23.5,25.0,3.725,6.275,95
Jews,225.0,22.0,24.0,25.5,3.7230000000000003,7.292999999999999,96
Jews,188.0,22.6,24.6,26.2,4.1658,6.7334,98
Jews,197.0,23.5,25.6,27.0,4.239,6.561,100
Jews,300.0,25.2,27.3,28.7,5.1373,8.323,102
Jews,260.0,25.4,27.5,28.9,4.335,7.1672,103
Jews,265.0,25.4,27.5,28.9,4.335,7.0516,104
Jews,250.0,25.4,27.5,28.9,4.5662,7.2828,105
Jews,300.0,26.9,28.7,30.1,4.6354,7.5852,107
Jews,320.0,27.8,30.0,31.6,4.7716,7.6156,108
Jews,685.0,34.0,36.5,39.0,6.864,10.880999999999998,112
Jews,700.0,34.0,36.0,38.3,6.7408,10.6091,113
Jews,700.0,34.5,37.0,39.4,6.2646,10.835,114
Jews,650.0,36.5,39.0,41.4,6.002999999999999,11.1366,117
Jews,820.0,36.6,39.0,41.3,7.3514,12.4313,118
Jews,850.0,36.9,40.0,42.3,7.1064,11.9286,119
Jews,900.0,37.0,40.0,42.5,7.225,11.73,120
Jews,1100.0,39.0,42.0,44.6,6.8684,12.8002,123
Jews,1000.0,39.8,43.0,45.2,7.2772,11.9328,124
Jews,1100.0,40.1,43.0,45.5,7.4165,12.5125,125
Jews,1000.0,40.2,43.5,46.0,8.142000000000001,12.604000000000001,126
Jews,1000.0,41.1,44.0,46.6,7.5958,12.4888,127
Undesirables,200.0,30.0,32.3,34.8,3.3756,5.568,128
Undesirables,300.0,31.7,34.0,37.8,4.158,5.7078,129
Undesirables,300.0,32.7,35.0,38.8,4.3844,5.9364,130
Undesirables,430.0,35.5,38.0,40.5,4.5765,7.29,132
Undesirables,510.0,40.0,42.5,45.5,4.459,6.825,135
Undesirables,540.0,40.1,43.0,45.8,5.1296,7.7860000000000005,136
Undesirables,500.0,42.0,45.0,48.0,4.896,6.96,137
Undesirables,950.0,48.3,51.7,55.1,6.1712,8.9262,140
Undesirables,1250.0,52.0,56.0,59.7,6.9849,10.6863,141
Undesirables,1600.0,56.0,60.0,64.0,6.144,9.6,142
Undesirables,1550.0,56.0,60.0,64.0,6.144,9.6,143
Handicapped,6.7,9.3,9.8,10.8,1.0476,1.7388,145
Handicapped,7.5,10.0,10.5,11.6,1.16,1.972,146
Handicapped,9.8,10.7,11.2,12.4,1.2772,2.0832,149
Handicapped,9.9,11.3,11.8,13.1,1.1659,2.2139,152
Handicapped,9.8,11.4,12.0,13.2,1.1484,2.2044,153
Handicapped,13.4,11.7,12.4,13.5,1.2690000000000001,2.43,155
Handicapped,12.2,12.1,13.0,13.8,1.2558,2.2769999999999997,156
Handicapped,19.7,13.2,14.3,15.2,2.0672,2.8728,157
